category,funding
Media,10000000.0
Application Platforms|Real Time|Social Network Media,700000.0
Apps|Games|Mobile,3406878.0
Curated Web,2000000.0
Games,41250.0
Biotechnology,762851.0
Analytics,33600000.0
Mobile,1150050.0
E-Commerce,40000.0
Health and Wellness,1750000.0
Internet Marketing|Media|Public Relations,6000000.0
Apps|Cable|Distribution|Software,5000000.0
Entertainment|Games,100000.0
E-Commerce,2050000.0
Education,4400000.0
Search,40000.0
Art|E-Commerce|Marketplaces,500000.0
Mobile,43923865.0
Curated Web,2535000.0
Curated Web,6795451.0
Local Businesses|Restaurants,10661772.9
Cosmetics|Marketplaces,8900000.0
Games|Media,10000000.0
Hospitality,3000000.0
Education,4500000.0
Health Care|Health Care Information Technology|Hospitals,4000000.0
Analytics,1250000.0
Software,35000000.0
Curated Web,50000.0
Coffee|Delivery|Subscription Service,100000.0
E-Commerce|Mobile Commerce|Social Commerce,1600000.0
Enterprise Software|Mobility|Software,100000.0
Biotechnology|Technology,55000000.0
Biotechnology,3550000.0
Software,77500.0
Health and Wellness,1958909.0
Social Travel,20000000.0
Enterprise Software,1800000.0
Health and Wellness|Personal Health,935000.0
Audio|Mobile|Music,440000.0
Health Diagnostics|Medical Devices|Personalization|Pharmaceuticals|Politics|Software|Technology,794000.0
Advertising|Analytics|Business Services|E-Commerce|Education|Internet Marketing|Small and Medium Businesses,650267.0
E-Commerce|SaaS,1000000.0
Internet,5400000.0
Software,378812.0
Service Providers|Technology,11999347.0
Publishing|Services,130636.0
Mobile|Service Providers|Software,1809056.0
Consumer Goods|Retail|SaaS|Software,619494.0
Manufacturing,71450000.0
Augmented Reality|Computer Vision|Games|iPad|Mobile,700000.0
Advertising|Big Data Analytics|Interest Graph,5500000.0
Advertising|Entertainment|Real Time|Social Media|Sports|Video,500000.0
Software,3400000.0
Games,200000.0
Software,199957.0
Entertainment|Games,50000.0
Public Transportation,16000000.0
Software,14000000.0
Internet,5250000.0
Travel,84440319.0
Education|Language Learning,135000000.0
Baby Accessories|Kids,7000000.0
Advertising|Advertising Platforms|Promotional,40000000.0
Designers|Internet|Non Profit|Startups,2500000.0
Finance|FinTech,9478511.0
Clean Technology|Residential Solar,5000000.0
Games|Software|Video Games,200000000.0
Advertising|Education|Internet|Mobile,40000.0
Health Care|Insurance|Medical,2500000.0
Geospatial|Maps|Outdoors,40000.0
Curated Web|Tracking,43811.0
Cosmetics|E-Commerce|Fashion|Lifestyle|Personal Health|Shopping,50000.0
Health and Wellness|Health Care|Internet|SMS,37639.0
Doctors|Health Care|Health Care Information Technology|Video|Video Chat,1700000.0
Software,1450000.0
Health and Wellness|Mobile Health,2100000.0
E-Commerce,4163132.0
Mobile|Mobile Devices|Mobile Security|Security|Tablets,212000.0
Health and Wellness|Health Care|Services,30000000.0
Social Media,500000.0
Non Profit|Online Shopping|Social Fundraising,761234.4732
Fitness,2572969.0
Mobile|Mobile Analytics|Predictive Analytics|SaaS,156000.0
Manufacturing,30000.0
Financial Services|FinTech,10000000.0
E-Commerce,117000000.0
E-Commerce,750000.0
Analytics|Big Data|Enterprise Software|Market Research|Mobile|Software,4000000.0
Games,1660000.0
Consumers|Entertainment|Games|Internet|MMO Games|Mobile|Mobile Social|Social + Mobile + Local|Social Network Media|Women,58000.0
Design|Health and Wellness|Health Care|Hospitals|Medical Devices,204189.0
Digital Media|Marketing Automation|Media,41250.0
Biotechnology|Health Diagnostics,4345427.0
Mobile,29750000.0
News,51507046.0
