category,funding
Media,10000000.0
Application Platforms,700000.0
Real Time,700000.0
Social Network Media,700000.0
Apps,3406878.0
Games,3406878.0
Mobile,3406878.0
Curated Web,2000000.0
Games,41250.0
Biotechnology,762851.0
Analytics,33600000.0
Mobile,1150050.0
E-Commerce,40000.0
Health and Wellness,1750000.0
Internet Marketing,6000000.0
Media,6000000.0
Public Relations,6000000.0
Apps,5000000.0
Cable,5000000.0
Distribution,5000000.0
Software,5000000.0
Entertainment,100000.0
Games,100000.0
E-Commerce,2050000.0
Education,4400000.0
Search,40000.0
Art,500000.0
E-Commerce,500000.0
Marketplaces,500000.0
Mobile,43923865.0
Curated Web,2535000.0
Curated Web,6795451.0
Local Businesses,10661772.9
Restaurants,10661772.9
Cosmetics,8900000.0
Marketplaces,8900000.0
Games,10000000.0
Media,10000000.0
Hospitality,3000000.0
Education,4500000.0
Health Care,4000000.0
Health Care Information Technology,4000000.0
Hospitals,4000000.0
Analytics,1250000.0
Software,35000000.0
Curated Web,50000.0
Coffee,100000.0
Delivery,100000.0
Subscription Service,100000.0
E-Commerce,1600000.0
Mobile Commerce,1600000.0
Social Commerce,1600000.0
Enterprise Software,100000.0
Mobility,100000.0
Software,100000.0
Biotechnology,55000000.0
Technology,55000000.0
Biotechnology,3550000.0
Software,77500.0
Health and Wellness,1958909.0
Social Travel,20000000.0
Enterprise Software,1800000.0
Health and Wellness,935000.0
Personal Health,935000.0
Audio,440000.0
Mobile,440000.0
Music,440000.0
Health Diagnostics,794000.0
Medical Devices,794000.0
Personalization,794000.0
Pharmaceuticals,794000.0
Politics,794000.0
Software,794000.0
Technology,794000.0
Advertising,650267.0
Analytics,650267.0
Business Services,650267.0
E-Commerce,650267.0
Education,650267.0
Internet Marketing,650267.0
Small and Medium Businesses,650267.0
E-Commerce,1000000.0
SaaS,1000000.0
Internet,5400000.0
Software,378812.0
Service Providers,11999347.0
Technology,11999347.0
Publishing,130636.0
Services,130636.0
Mobile,1809056.0
Service Providers,1809056.0
Software,1809056.0
Consumer Goods,619494.0
Retail,619494.0
SaaS,619494.0
Software,619494.0
Manufacturing,71450000.0
Augmented Reality,700000.0
Computer Vision,700000.0
Games,700000.0
iPad,700000.0
Mobile,700000.0
Advertising,5500000.0
Big Data Analytics,5500000.0
Interest Graph,5500000.0
Advertising,500000.0
Entertainment,500000.0
Real Time,500000.0
Social Media,500000.0
Sports,500000.0
Video,500000.0
Software,3400000.0
Games,200000.0
Software,199957.0
Entertainment,50000.0
Games,50000.0
Public Transportation,16000000.0
Software,14000000.0
Internet,5250000.0
Travel,84440319.0
Education,135000000.0
Language Learning,135000000.0
Baby Accessories,7000000.0
Kids,7000000.0
Advertising,40000000.0
Advertising Platforms,40000000.0
Promotional,40000000.0
Designers,2500000.0
Internet,2500000.0
Non Profit,2500000.0
Startups,2500000.0
Finance,9478511.0
FinTech,9478511.0
Clean Technology,5000000.0
Residential Solar,5000000.0
Games,200000000.0
Software,200000000.0
Video Games,200000000.0
Advertising,40000.0
Education,40000.0
Internet,40000.0
Mobile,40000.0
Health Care,2500000.0
Insurance,2500000.0
Medical,2500000.0
Geospatial,40000.0
Maps,40000.0
Outdoors,40000.0
Curated Web,43811.0
Tracking,43811.0
Cosmetics,50000.0
E-Commerce,50000.0
Fashion,50000.0
Lifestyle,50000.0
Personal Health,50000.0
Shopping,50000.0
Health and Wellness,37639.0
Health Care,37639.0
Internet,37639.0
SMS,37639.0
Doctors,1700000.0
Health Care,1700000.0
Health Care Information Technology,1700000.0
Video,1700000.0
Video Chat,1700000.0
Software,1450000.0
Health and Wellness,2100000.0
Mobile Health,2100000.0
E-Commerce,4163132.0
Mobile,212000.0
Mobile Devices,212000.0
Mobile Security,212000.0
Security,212000.0
Tablets,212000.0
Health and Wellness,30000000.0
Health Care,30000000.0
Services,30000000.0
Social Media,500000.0
Non Profit,761234.4732
Online Shopping,761234.4732
Social Fundraising,761234.4732
Fitness,2572969.0
Mobile,156000.0
Mobile Analytics,156000.0
Predictive Analytics,156000.0
SaaS,156000.0
Manufacturing,30000.0
Financial Services,10000000.0
FinTech,10000000.0
E-Commerce,117000000.0
E-Commerce,750000.0
Analytics,4000000.0
Big Data,4000000.0
Enterprise Software,4000000.0
Market Research,4000000.0
Mobile,4000000.0
Software,4000000.0
Games,1660000.0
Consumers,58000.0
Entertainment,58000.0
Games,58000.0
Internet,58000.0
MMO Games,58000.0
Mobile,58000.0
Mobile Social,58000.0
Social + Mobile + Local,58000.0
Social Network Media,58000.0
Women,58000.0
Design,204189.0
Health and Wellness,204189.0
Health Care,204189.0
Hospitals,204189.0
Medical Devices,204189.0
Digital Media,41250.0
Marketing Automation,41250.0
Media,41250.0
Biotechnology,4345427.0
Health Diagnostics,4345427.0
Mobile,29750000.0
News,51507046.0
Curated Web,1236454.0
Education,1236454.0
Parenting,1236454.0
Publishing,1236454.0
Technology,2220000.0
Art,2800000.0
E-Commerce,2800000.0
Social Commerce,2800000.0
Advertising,50000.0
Direct Marketing,50000.0
Social Media,50000.0
Delivery,1464128.0
Hospitality,1464128.0
Manufacturing,1464128.0
E-Commerce,6369507.0
Big Data,121050000.0
Bitcoin,121050000.0
Hardware + Software,121050000.0
Technology,121050000.0
Software,2580000.0
Health and Wellness,325000000.0
Software,396000000.0
Web Hosting,396000000.0
Biotechnology,15034750.0
Android,250000.0
Apps,250000.0
Internet,250000.0
iPhone,250000.0
Mobile,250000.0
Sales and Marketing,250000.0
Software,250000.0
Web Development,250000.0
Web Tools,250000.0
Software,1610541.0
Mobile,615000.0
Biotechnology,227049900.0
Search,227049900.0
Blogging Platforms,50000.0
Software,50000.0
Finance,3452941.0
News,1209701.0
EdTech,4000000.0
Education,4000000.0
Systems,4000000.0
Hardware + Software,600000.0
Computers,500000.0
Software,500000.0
Technology,500000.0
Non Profit,400000.0
Social Fundraising,400000.0
Internet,2000000.0
Clean Technology,16000000.0
Software,50000.0
Software,2942768.889
Textbooks,2942768.889
Services,1856561.0
Software,300000.0
DIY,25000.0
Electronics,25000.0
Software,25000.0
Software,2000000.0
E-Commerce,118000.0
Finance,118000.0
Marketplaces,118000.0
Presentations,250000.0
Software,250000.0
Cloud Computing,5844811.0
Databases,5844811.0
Software,5844811.0
Web Development,5844811.0
E-Commerce,10000000.0
Mobile Commerce,10000000.0
Payments,10000000.0
Software,10000000.0
Credit Cards,8300000.0
Mobile,8300000.0
Software,6785876.0
E-Commerce,72000000.0
Software,383000.0
Hardware + Software,2941000.0
Mobile,165000000.0
Clean Technology,474116.5611
Software,275000.0
Discounts,33457.0
Entertainment,33457.0
Internet,33457.0
Ticketing,33457.0
Curated Web,966728.0
Internet of Things,4000000.0
M2M,4000000.0
Software,4000000.0
Content,100000.0
Software,100000.0
Sports,100000.0
Application Platforms,300000.0
Health and Wellness,300000.0
Mobile,300000.0
Mobile Health,300000.0
Software,300000.0
Software,85000000.0
Cloud Infrastructure,37644420.0
Corporate IT,37644420.0
Enterprise Software,37644420.0
Landscaping,20000.0
Natural Resources,20000.0
Advertising,6000.0
Media,6000.0
SaaS,3167062.0
Technology,3167062.0
Telecommunications,3167062.0
Curated Web,2300000.0
Online Dating,2300000.0
Social Network Media,2300000.0
Messaging,939000.0
Art,300000.0
Beauty,300000.0
Fashion,300000.0
Lifestyle,300000.0
Music,300000.0
Social Media,300000.0
Social Network Media,300000.0
EdTech,95875000.0
Education,95875000.0
Software,95875000.0
E-Commerce,80000.0
Navigation,80000.0
Tourism,80000.0
Curated Web,162000000.0
Biotechnology,128477567.0
Apps,25000.0
Creative,25000.0
Design,25000.0
Finance,25000.0
Mobile,25000.0
Photography,25000.0
Software,25000.0
Finance,500000.0
FinTech,500000.0
E-Commerce,2274716.0
Wine And Spirits,2274716.0
Advertising,25654560.0
Advertising Platforms,25654560.0
Content Discovery,25654560.0
Internet,25654560.0
Social Media,25654560.0
Social Media Platforms,25654560.0
Social Network Media,25654560.0
Internet,20000.0
Information Technology,15000000.0
Retail,15000000.0
Software,15000000.0
Consumer Electronics,17800000.0
Software,17800000.0
Biotechnology,5000000.0
Life Sciences,5000000.0
Media,5000000.0
News,5000000.0
Pharmaceuticals,5000000.0
Biotechnology,1000000.0
Dental,1000000.0
Software,7650000.0
Communities,1543920.0
Corporate Training,1543920.0
Education,1543920.0
Internet,23000000.0
Social Media,23000000.0
Social Network Media,23000000.0
Enterprise Software,1623640.0
Data Centers,16000000.0
Information Technology,16000000.0
Internet,16000000.0
Services,16000000.0
Artificial Intelligence,609229.0
Fashion,609229.0
Technology,609229.0
Android,6700000.0
Apps,6700000.0
iPhone,6700000.0
Mobile,6700000.0
Sports,6700000.0
Blogging Platforms,1573976.0
Internet,1573976.0
Public Relations,1573976.0
Social Media,1573976.0
Startups,1573976.0
Bitcoin,525000.0
Mobile,1629549.0
Software,800000.0
Mobile,1600000.0
Health and Wellness,3750000.0
Networking,1719583.0
Online Travel,1719583.0
Travel,1719583.0
Business Services,6000000.0
Marketing Automation,6000000.0
Mobile,6000000.0
Cloud Computing,75000.0
Communications Hardware,75000.0
Contact Centers,75000.0
Customer Service,75000.0
Internet,75000.0
Software,75000.0
VoIP,75000.0
Web Development,75000.0
Biotechnology,133620.0
Babies,35000.0
Big Data Analytics,35000.0
E-Commerce,35000.0
Fashion,35000.0
Kids,35000.0
Consumer Electronics,500000.0
Electronic Health Records,500000.0
Health Care,500000.0
iPad,500000.0
Software,500000.0
Customer Service,9311190.0
Sales and Marketing,9311190.0
Software,9311190.0
Telephony,9311190.0
Enterprise Software,7289000.0
3D,750000.0
3D Technology,750000.0
Events,750000.0
Biotechnology,1465000.0
Services,16674.0
3D Technology,500000.0
Sensors,500000.0
3D,380000.0
3D Technology,380000.0
Digital Signage,380000.0
Games,503000.0
Photography,350000.0
Video,350000.0
3D Printing,4500000.0
Collaborative Consumption,4500000.0
Local,4500000.0
Marketplaces,4500000.0
3D,1200000.0
Curated Web,1200000.0
Manufacturing,1200000.0
Search,1200000.0
Supply Chain Management,1200000.0
Visualization,1200000.0
Alumni,12500.0
3D Printing,7500.0
Health and Wellness,7500.0
Health Care,7500.0
3D,240000.0
3D Technology,240000.0
E-Commerce,240000.0
Internet,240000.0
Online Shopping,240000.0
Drones,99000000.0
Manufacturing,99000000.0
Hardware + Software,1168005.0
Software,909940.0
Software,169500000.0
Hardware + Software,150000.0
Health Care,16399999.0
E-Commerce,400000.0
E-Commerce,1250000.0
Business Services,701760.0
Video Games,701760.0
3D,1880000.0
Medical,1880000.0
Physicians,1880000.0
3D Printing,1150000.0
Manufacturing,1150000.0
3D Technology,50000.0
Human Computer Interaction,50000.0
Sensors,50000.0
3D,2670000.0
Computer Vision,2670000.0
